sentiment,category
0.623,government
0.4404,government
0.623,government
-0.4563,government
-0.3612,government
0.0,government
-0.5106,government
-0.5106,government
-0.2144,government
-0.2144,government
-0.7783,government
-0.7783,government
0.25,government
0.25,government
0.25,government
0.25,government
0.3612,government
0.0,government
0.0,government
0.0,government
0.0,government
0.0,government
0.0,government
-0.3818,government
-0.3818,government
-0.6124,government
-0.6124,government
-0.6124,government
-0.6124,government
-0.6478,government
-0.6478,government
-0.6478,government
0.1511,government
-0.3818,government
0.9476,government
0.0,government
0.9648,government
0.4588,government
0.4588,government
0.9371,government
0.0,government
0.9287,government
0.9788,government
0.9017,government
0.4019,government
-0.25,government
0.6588,government
0.0,government
0.0,government
0.3818,government
-0.4588,government
0.6369,government
0.9167,government
0.5904,government
0.4215,government
0.4404,nonprofit
0.0,nonprofit
0.8126,nonprofit
0.8126,nonprofit
0.5994,nonprofit
0.0,nonprofit
0.4019,nonprofit
0.0,nonprofit
0.9344,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
1.0,nonprofit
-0.3818,nonprofit
