PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data
447945329,https://twitter.com/InvestAtlanta/status/1892600953066381390,,Twitter,19191402,Invest Atlanta,blank_for_now,blank_for_now,"{""follower_count"":24017,""following_count"":2062,""like_count"":null,""post_count"":9016,""views_count"":null,""comment_count"":null,""share_count"":null}",@WFFAtlanta The Board will now enter into executive session. This concludes the public portion of the meeting of the Invest Atlanta Board of Directors. Subscribe to Impact &amp; Insights at https://t.co/bKgLQHL2g7 for regular updates on Invest Atlanta activity., ,no longer populated,,2025-02-20T15:43:24.000Z,post data removed,,0,1,0,210,,
447945339,https://twitter.com/InvestAtlanta/status/1892600708379128087,,Twitter,19191402,Invest Atlanta,blank_for_now,blank_for_now,"{""follower_count"":24017,""following_count"":2062,""like_count"":null,""post_count"":9016,""views_count"":null,""comment_count"":null,""share_count"":null}","@WFFAtlanta The Board approved a resolution agreeing that Invest Atlanta agree to enter into a Land Use Restriction Agreement with Halpern Enterprises, Inc. This administrative action will allow the project to move forward before City Council and the related committees.", ,no longer populated,,2025-02-20T15:42:26.000Z,post data removed,,1,1,1,207,,
447945353,https://twitter.com/InvestAtlanta/status/1892575826152919342,,Twitter,19191402,Invest Atlanta,blank_for_now,blank_for_now,"{""follower_count"":24017,""following_count"":2062,""like_count"":null,""post_count"":9016,""views_count"":null,""comment_count"":null,""share_count"":null}",Good morning from the February meeting of the Invest Atlanta Board of Directors. Follow along as the Board conducts official business! #MovingAtlantaForward, ,no longer populated,,2025-02-20T14:03:33.000Z,post data removed,,1,1,1,449,,
435381862,https://twitter.com/ATLPlanning/status/1889400625407959469,,Twitter,19191146,ATL City Planning,blank_for_now,blank_for_now,"{""follower_count"":7043,""following_count"":338,""like_count"":1335,""post_count"":4812,""views_count"":196958,""comment_count"":71,""share_count"":8944}",RT @InvestAtlanta: We're kicking off 2025 with our Homebuyer Q&amp;A! Join our Homeownership team to learn about what incentives Invest Atlanta…, ,no longer populated,We're kicking off 2025 with our Homebuyer Q&amp;A! Join our Homeownership team to learn about what incentives Invest Atlanta provides to assist you in purchasing a home. Register for a session at https://t.co/pknYga8L0H. https://t.co/jUb9O1KOsV,2025-02-11T19:46:27.000Z,post data removed,,0,2,0,0,,We're kicking off 2025 with our Homebuyer Q&amp;A! Join our Homeownership team to learn about what incentives Invest Atlanta provides to assist you in purchasing a home. Register for a session at https://t.co/pknYga8L0H. https://t.co/jUb9O1KOsV
430678521,https://www.facebook.com/saportareport/posts/pfbid021cfxFuVfiytvDeMf2NVfFtx6PKMrPoxysmT8GWkAKZtZ1aBSfkmsPiFkW8edkSz4l,,Facebook,30245494,SaportaReport,blank_for_now,blank_for_now,"{""follower_count"":5800,""following_count"":null,""like_count"":5455,""post_count"":null,""views_count"":null,""comment_count"":null,""share_count"":null}","A multi-million dollar restoration of the historic Prince Hall Masonic Lodge on Auburn Avenue - set to begin in the coming weeks - kicks off a renovation of the 1937 building into a 16,000-square-foot multi-use space.  Most Worshipful Prince Hall Grand Lodge of Georgia Trust for Public Land Arthur M. Blank Family Foundation  Invest Atlanta National Park Service Georgia-Pacific 

https://saportareport.com/prince-hall-masonic-lodge-to-kick-off-10-million-renovation/columnists/delaney-tarr/delaneytarr/", ,no longer populated,,2025-02-05T13:21:02.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTE9xRURRPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5f5bb992d42c3d6cd99466284dcf5e7633f6e99c/post-30245494-430678521-thumbnail,8,1,1,0,,
425695182,https://www.youtube.com/watch?v=-Ih7b6dQWMw,,YouTube,7167,11Alive,blank_for_now,blank_for_now,"{""follower_count"":2390000,""following_count"":0,""like_count"":5869766,""post_count"":120366,""views_count"":1442782163,""comment_count"":2015532,""share_count"":0}",Mayor Andre Dickens said it negatively impacts funding for several of the city's initiatives and investments., ,no longer populated,,2025-01-28T21:26:15.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRm45aFRNPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b7a47d0670458aff12af430bbb102a7568f53920/post-7167-425695182-thumbnail,39,0,59,3819,,
425174917,https://twitter.com/staceyhopkinsga/status/1884288026366599252,,Twitter,9593025,Stacey Ma Dukes Hopkins,blank_for_now,blank_for_now,"{""follower_count"":5452,""following_count"":5311,""like_count"":null,""post_count"":131978,""views_count"":null,""comment_count"":null,""share_count"":null}",@MattACPC @atlcouncil @SaviProvisions Appreciate that. This is the only info to be had on this: https://t.co/UXfEPBEzG6., ,no longer populated,"Just a reminder about food access in SW Atlanta, @atlcouncil.

Where you at, @SaviProvisions? https://t.co/Sr7FnCmoxy",2025-01-28T17:10:48.000Z,post data removed,,0,0,1,31,,"Just a reminder about food access in SW Atlanta, @atlcouncil.

Where you at, @SaviProvisions? https://t.co/Sr7FnCmoxy"
416208489,https://twitter.com/ATLPlanning/status/1880253537986478260,,Twitter,19191146,ATL City Planning,blank_for_now,blank_for_now,"{""follower_count"":7076,""following_count"":338,""like_count"":1285,""post_count"":4647,""views_count"":189125,""comment_count"":71,""share_count"":8337}",RT @InvestAtlanta: @ATLPlanning The Board will now enter into Executive Session to discuss personnel matters. Thank you for following along…, ,no longer populated,"@ATLPlanning The Board will now enter into Executive Session to discuss personnel matters. Thank you for following along. For regular Invest Atlanta updates, subscribe to our newsletter, Impact &amp; Insights, at https://t.co/bKgLQHLA5F.",2025-01-17T13:59:11.000Z,post data removed,,0,2,0,0,,"@ATLPlanning The Board will now enter into Executive Session to discuss personnel matters. Thank you for following along. For regular Invest Atlanta updates, subscribe to our newsletter, Impact &amp; Insights, at https://t.co/bKgLQHLA5F."
416208525,https://twitter.com/ATLPlanning/status/1880253504813691185,,Twitter,19191146,ATL City Planning,blank_for_now,blank_for_now,"{""follower_count"":7076,""following_count"":338,""like_count"":1285,""post_count"":4647,""views_count"":189125,""comment_count"":71,""share_count"":8337}",RT @InvestAtlanta: Good morning from the first Invest Atlanta Board of Directors meeting of 2025! Follow along as the Board conducts offici…, ,no longer populated,Good morning from the first Invest Atlanta Board of Directors meeting of 2025! Follow along as the Board conducts official business on behalf of Invest Atlanta. #MovingAtlantaForward,2025-01-17T13:59:03.000Z,post data removed,,0,4,0,0,,Good morning from the first Invest Atlanta Board of Directors meeting of 2025! Follow along as the Board conducts official business on behalf of Invest Atlanta. #MovingAtlantaForward
416208500,https://twitter.com/InvestAtlanta/status/1879901539218931780,,Twitter,19191402,Invest Atlanta,blank_for_now,blank_for_now,"{""follower_count"":23956,""following_count"":2070,""like_count"":null,""post_count"":9024,""views_count"":null,""comment_count"":null,""share_count"":null}","@ATLPlanning The Board will now enter into Executive Session to discuss personnel matters. Thank you for following along. For regular Invest Atlanta updates, subscribe to our newsletter, Impact &amp; Insights, at https://t.co/bKgLQHLA5F.", ,no longer populated,,2025-01-16T14:40:28.000Z,post data removed,,1,2,0,224,,
416208536,https://twitter.com/InvestAtlanta/status/1879891711444623401,,Twitter,19191402,Invest Atlanta,blank_for_now,blank_for_now,"{""follower_count"":23956,""following_count"":2070,""like_count"":null,""post_count"":9024,""views_count"":null,""comment_count"":null,""share_count"":null}",Good morning from the first Invest Atlanta Board of Directors meeting of 2025! Follow along as the Board conducts official business on behalf of Invest Atlanta. #MovingAtlantaForward, ,no longer populated,,2025-01-16T14:01:25.000Z,post data removed,,3,4,1,457,,
415384683,https://twitter.com/ATLPlanning/status/1879876023443173388,,Twitter,19191146,ATL City Planning,blank_for_now,blank_for_now,"{""follower_count"":7084,""following_count"":338,""like_count"":1282,""post_count"":4624,""views_count"":188933,""comment_count"":71,""share_count"":8334}",RT @InvestAtlanta: Invest Atlanta is delighted to announce the promotion of Laurie Prickett to Senior Vice President of Economic Developmen…, ,no longer populated,Invest Atlanta is delighted to announce the promotion of Laurie Prickett to Senior Vice President of Economic Development. We are excited to see the impact she will have on the Economic Development team and Invest Atlanta. Join us in congratulating Laurie! https://t.co/kJooL8Z1JP,2025-01-16T12:59:05.000Z,post data removed,,0,3,0,0,,Invest Atlanta is delighted to announce the promotion of Laurie Prickett to Senior Vice President of Economic Development. We are excited to see the impact she will have on the Economic Development team and Invest Atlanta. Join us in congratulating Laurie! https://t.co/kJooL8Z1JP
